STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:UKM00003334,MANCHESTER UK,20011103,120,65
GHCND:UKM00003334,MANCHESTER UK,20011104,113,-9999
GHCND:UKM00003334,MANCHESTER UK,20011105,-9999,12
GHCND:UKM00003334,MANCHESTER UK,20011106,126,89
GHCND:UKM00003334,MANCHESTER UK,20011110,-9999,-17
GHCND:UKM00003334,MANCHESTER UK,20011111,-9999,95
GHCND:UKM00003334,MANCHESTER UK,20011112,134,-9999
GHCND:UKM00003334,MANCHESTER UK,20011113,68,-9999
GHCND:UKM00003334,MANCHESTER UK,20011114,92,-9
GHCND:UKM00003334,MANCHESTER UK,20011115,-9999,5
GHCND:UKM00003334,MANCHESTER UK,20011116,100,63
GHCND:UKM00003334,MANCHESTER UK,20011117,92,-9999
GHCND:UKM00003334,MANCHESTER UK,20011119,80,-9999
GHCND:UKM00003334,MANCHESTER UK,20011120,-9999,39
GHCND:UKM00003334,MANCHESTER UK,20011121,-9999,88
GHCND:UKM00003334,MANCHESTER UK,20011123,-9999,-13
GHCND:UKM00003334,MANCHESTER UK,20011124,123,63
GHCND:UKM00003334,MANCHESTER UK,20011125,126,-9999
GHCND:UKM00003334,MANCHESTER UK,20011126,86,-9999
GHCND:UKM00003334,MANCHESTER UK,20011127,81,17
GHCND:UKM00003334,MANCHESTER UK,20011128,92,42
GHCND:UKM00003334,MANCHESTER UK,20011129,-9999,81
GHCND:UKM00003334,MANCHESTER UK,20011130,151,104
GHCND:UKM00003334,MANCHESTER UK,20011202,57,15
GHCND:UKM00003334,MANCHESTER UK,20011203,-9999,18
GHCND:UKM00003334,MANCHESTER UK,20011204,94,-9999
GHCND:UKM00003334,MANCHESTER UK,20011205,127,37
GHCND:UKM00003334,MANCHESTER UK,20011207,-9999,58
GHCND:UKM00003334,MANCHESTER UK,20011208,94,-9999
GHCND:UKM00003334,MANCHESTER UK,20011209,36,-24
GHCND:UKM00003334,MANCHESTER UK,20011210,78,-36
GHCND:UKM00003334,MANCHESTER UK,20011211,3,-9999
GHCND:UKM00003334,MANCHESTER UK,20011212,117,-35
GHCND:UKM00003334,MANCHESTER UK,20011213,-9999,47
GHCND:UKM00003334,MANCHESTER UK,20011215,-9999,-30
GHCND:UKM00003334,MANCHESTER UK,20011217,-9999,-35
GHCND:UKM00003334,MANCHESTER UK,20011218,-9999,20
GHCND:UKM00003334,MANCHESTER UK,20011219,-9999,6
GHCND:UKM00003334,MANCHESTER UK,20011221,-9999,8
GHCND:UKM00003334,MANCHESTER UK,20011222,29,-9999
GHCND:UKM00003334,MANCHESTER UK,20011223,-9999,-40
GHCND:UKM00003334,MANCHESTER UK,20011224,-9999,30
GHCND:UKM00003334,MANCHESTER UK,20011226,26,-20
GHCND:UKM00003334,MANCHESTER UK,20011227,-9999,3
GHCND:UKM00003334,MANCHESTER UK,20011230,37,-9999
GHCND:UKM00003334,MANCHESTER UK,20011231,15,-9999
GHCND:UKM00003334,MANCHESTER UK,20020101,-9999,-61
GHCND:UKM00003334,MANCHESTER UK,20020102,33,-47
GHCND:UKM00003334,MANCHESTER UK,20020103,42,-13
GHCND:UKM00003334,MANCHESTER UK,20020104,-9999,-55
GHCND:UKM00003334,MANCHESTER UK,20020105,-9999,-13
GHCND:UKM00003334,MANCHESTER UK,20020107,63,-9999
GHCND:UKM00003334,MANCHESTER UK,20020109,43,-9999
GHCND:UKM00003334,MANCHESTER UK,20020110,40,28
GHCND:UKM00003334,MANCHESTER UK,20020111,-9999,-5
GHCND:UKM00003334,MANCHESTER UK,20020112,84,-9999
GHCND:UKM00003334,MANCHESTER UK,20020113,105,-9999
GHCND:UKM00003334,MANCHESTER UK,20020114,100,43
GHCND:UKM00003334,MANCHESTER UK,20020116,95,10
GHCND:UKM00003334,MANCHESTER UK,20020118,-9999,5
GHCND:UKM00003334,MANCHESTER UK,20020120,-9999,49
GHCND:UKM00003334,MANCHESTER UK,20020121,-9999,61
GHCND:UKM00003334,MANCHESTER UK,20020122,91,-9999
GHCND:UKM00003334,MANCHESTER UK,20020123,115,51
GHCND:UKM00003334,MANCHESTER UK,20020125,-9999,0
GHCND:UKM00003334,MANCHESTER UK,20020126,110,72
GHCND:UKM00003334,MANCHESTER UK,20020127,-9999,45
GHCND:UKM00003334,MANCHESTER UK,20020129,133,-9999
GHCND:UKM00003334,MANCHESTER UK,20020130,110,-9999
GHCND:UKM00003334,MANCHESTER UK,20020201,160,45
GHCND:UKM00003334,MANCHESTER UK,20020202,129,-9999
GHCND:UKM00003334,MANCHESTER UK,20020203,110,-9999
GHCND:UKM00003334,MANCHESTER UK,20020204,-9999,17
GHCND:UKM00003334,MANCHESTER UK,20020205,101,-9999
GHCND:UKM00003334,MANCHESTER UK,20020206,81,-9999
GHCND:UKM00003334,MANCHESTER UK,20020207,-9999,10
GHCND:UKM00003334,MANCHESTER UK,20020208,-9999,66
GHCND:UKM00003334,MANCHESTER UK,20020210,-9999,58
GHCND:UKM00003334,MANCHESTER UK,20020211,141,-9999
GHCND:UKM00003334,MANCHESTER UK,20020212,127,-9999
GHCND:UKM00003334,MANCHESTER UK,20020213,74,-9999
GHCND:UKM00003334,MANCHESTER UK,20020214,81,-9999
GHCND:UKM00003334,MANCHESTER UK,20020215,91,-8
GHCND:UKM00003334,MANCHESTER UK,20020216,77,-9999
GHCND:UKM00003334,MANCHESTER UK,20020217,-9999,20
GHCND:UKM00003334,MANCHESTER UK,20020218,84,28
GHCND:UKM00003334,MANCHESTER UK,20020219,-9999,58
GHCND:UKM00003334,MANCHESTER UK,20020221,-9999,-1
GHCND:UKM00003334,MANCHESTER UK,20020222,105,-9999
GHCND:UKM00003334,MANCHESTER UK,20020223,57,15
GHCND:UKM00003334,MANCHESTER UK,20020224,55,4
GHCND:UKM00003334,MANCHESTER UK,20020225,114,34
GHCND:UKM00003334,MANCHESTER UK,20020226,110,-9999
GHCND:UKM00003334,MANCHESTER UK,20020227,78,30
GHCND:UKM00003334,MANCHESTER UK,20020228,80,-9999
GHCND:UKM00003334,MANCHESTER UK,20020301,81,-9999
GHCND:UKM00003334,MANCHESTER UK,20020302,82,-25
GHCND:UKM00003334,MANCHESTER UK,20020303,90,55
GHCND:UKM00003334,MANCHESTER UK,20020304,90,-9999
GHCND:UKM00003334,MANCHESTER UK,20020305,110,27
GHCND:UKM00003334,MANCHESTER UK,20020306,-9999,69
GHCND:UKM00003334,MANCHESTER UK,20020308,117,-9999
GHCND:UKM00003334,MANCHESTER UK,20020309,66,-9999
